latitude,longitude,property_type,room_type,accommodates,price
42.36524,-71.02936,Apartment,Entire home/apt,2,125
42.29244,-71.13577,Apartment,Private room,2,65
42.35919,-71.06265,Apartment,Entire home/apt,2,99
42.36461,-71.02902,Apartment,Entire home/apt,4,225
42.3584,-71.06185,Apartment,Entire home/apt,2,150
42.34961,-71.08904,Apartment,Entire home/apt,3,179
42.32329,-71.0621,Serviced apartment,Hotel room,7,126
42.34496,-71.07486,House,Private room,1,148
42.36366,-71.05023,Boat,Entire home/apt,5,275
42.31557,-71.11483,Apartment,Entire home/apt,2,195
42.37834,-71.06663,Apartment,Entire home/apt,2,221
42.34633,-71.08832,Apartment,Entire home/apt,2,165
42.3151,-71.11108,House,Private room,2,95
42.37404,-71.06118,Apartment,Entire home/apt,3,125
42.29772,-71.05924,House,Private room,2,50
42.31004,-71.04942,Guesthouse,Entire home/apt,2,105
42.32584,-71.08927,House,Private room,2,75
42.35712,-71.0618,Apartment,Entire home/apt,2,175
42.33215,-71.10674,Apartment,Entire home/apt,2,79
42.35867,-71.06332,Condominium,Entire home/apt,3,110
42.32614,-71.0884,House,Private room,2,79
42.37853,-71.06177,Bed and breakfast,Private room,2,140
42.29771,-71.05979,House,Private room,3,65
42.31358,-71.04697,Condominium,Private room,2,68
42.35937,-71.13156,Apartment,Entire home/apt,2,175
42.37933,-71.03376,Apartment,Entire home/apt,2,325
42.29512,-71.14877,House,Private room,1,65
42.32158,-71.09047,Apartment,Entire home/apt,10,200
42.29343,-71.06773,House,Private room,3,81
42.2978,-71.05893,House,Private room,2,75
42.29915,-71.05879,House,Private room,2,65
42.3798,-71.03325,Apartment,Entire home/apt,4,300
42.37739,-71.06044,Apartment,Entire home/apt,6,169
42.31039,-71.06907,Guest suite,Entire home/apt,4,55
42.34452,-71.08684,Apartment,Shared room,1,79
42.3132,-71.11832,Apartment,Private room,1,85
42.31732,-71.10834,Apartment,Entire home/apt,2,90
42.29363,-71.06652,House,Private room,3,81
42.28571,-71.09054,House,Private room,2,75
42.29849,-71.0588,House,Private room,2,55
42.31864,-71.10641,Apartment,Entire home/apt,2,110
42.28143,-71.12576,House,Entire home/apt,5,300
42.36539,-71.05438,Townhouse,Private room,5,95
42.34643,-71.07503,House,Private room,1,105
42.28053,-71.13084,Apartment,Private room,2,65
42.28145,-71.12925,Apartment,Private room,1,55
42.2948,-71.06814,House,Private room,3,69
42.33066,-71.03984,Apartment,Entire home/apt,4,200
