OBJECTID_12,OBJECTID,latitude,longitude,property_type,room_type,accommodates,price,FID_1,OBJECTID_1,FID_1_1,OBJECTID_2,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,AREA_SQFT,AREA_ACRES,POP100_RE,HU100_RE,LOGPL94171,LOGSF1,LOGACS0610,LOGSF1C,SHAPE_Leng,Count_,Sum_Field1,Sum_Lat,Sum_Long,Sum_Aggrav,Sum_Aircra,Sum_Arson,Sum_Assemb,Sum_Auto_T,Sum_Auto_1,Sum_Ballis,Sum_Bomb_H,Sum_Commer,Sum_Crimin,Sum_Disord,Sum_Drug_V,Sum_Explos,Sum_Firear,Sum_HOME_I,Sum_Harass,Sum_Homici,Sum_Mansla,Sum_Offens,Sum_Reside,Sum_Robber,Sum_Search,Sum_Simple,Sum_Vandal,Sum_Warran,Shape_Le_1
1,550,42.346339999999998,-71.090050000000005,Apartment,Entire home/apt,2,199,0,1,3,456,25,025,010405,25025010405,104.05,Census Tract 104.05,G5020,363702.000000000000000,0.000000000000000,+42.3398654,-071.0896052,3914567.540000000037253,89.866100000000003,5522,994,0174937,147927,0003866,0147927,4459.095904640000299,73,961320,3090.898002290000022,-5189.425398370000039,6,0,0,0,2,1,1,0,0,0,0,8,0,2,0,8,0,0,0,2,6,0,20,11,6,4459.095904619999601
2,1044,42.341400000000000,-71.084220000000002,Apartment,Entire home/apt,4,160,0,1,3,456,25,025,010405,25025010405,104.05,Census Tract 104.05,G5020,363702.000000000000000,0.000000000000000,+42.3398654,-071.0896052,3914567.540000000037253,89.866100000000003,5522,994,0174937,147927,0003866,0147927,4459.095904640000299,73,961320,3090.898002290000022,-5189.425398370000039,6,0,0,0,2,1,1,0,0,0,0,8,0,2,0,8,0,0,0,2,6,0,20,11,6,4459.095904619999601
3,1052,42.344130000000000,-71.090509999999995,Apartment,Private room,1,57,0,1,3,456,25,025,010405,25025010405,104.05,Census Tract 104.05,G5020,363702.000000000000000,0.000000000000000,+42.3398654,-071.0896052,3914567.540000000037253,89.866100000000003,5522,994,0174937,147927,0003866,0147927,4459.095904640000299,73,961320,3090.898002290000022,-5189.425398370000039,6,0,0,0,2,1,1,0,0,0,0,8,0,2,0,8,0,0,0,2,6,0,20,11,6,4459.095904619999601
4,1178,42.346780000000003,-71.089510000000004,Serviced apartment,Entire home/apt,2,150,0,1,3,456,25,025,010405,25025010405,104.05,Census Tract 104.05,G5020,363702.000000000000000,0.000000000000000,+42.3398654,-071.0896052,3914567.540000000037253,89.866100000000003,5522,994,0174937,147927,0003866,0147927,4459.095904640000299,73,961320,3090.898002290000022,-5189.425398370000039,6,0,0,0,2,1,1,0,0,0,0,8,0,2,0,8,0,0,0,2,6,0,20,11,6,4459.095904619999601
5,2000,42.340209999999999,-71.088729999999998,Apartment,Entire home/apt,5,123,0,1,3,456,25,025,010405,25025010405,104.05,Census Tract 104.05,G5020,363702.000000000000000,0.000000000000000,+42.3398654,-071.0896052,3914567.540000000037253,89.866100000000003,5522,994,0174937,147927,0003866,0147927,4459.095904640000299,73,961320,3090.898002290000022,-5189.425398370000039,6,0,0,0,2,1,1,0,0,0,0,8,0,2,0,8,0,0,0,2,6,0,20,11,6,4459.095904619999601
6,2043,42.345179999999999,-71.089960000000005,Apartment,Private room,1,98,0,1,3,456,25,025,010405,25025010405,104.05,Census Tract 104.05,G5020,363702.000000000000000,0.000000000000000,+42.3398654,-071.0896052,3914567.540000000037253,89.866100000000003,5522,994,0174937,147927,0003866,0147927,4459.095904640000299,73,961320,3090.898002290000022,-5189.425398370000039,6,0,0,0,2,1,1,0,0,0,0,8,0,2,0,8,0,0,0,2,6,0,20,11,6,4459.095904619999601
7,4470,42.341520000000003,-71.091309999999993,Apartment,Entire home/apt,7,150,0,1,3,456,25,025,010405,25025010405,104.05,Census Tract 104.05,G5020,363702.000000000000000,0.000000000000000,+42.3398654,-071.0896052,3914567.540000000037253,89.866100000000003,5522,994,0174937,147927,0003866,0147927,4459.095904640000299,73,961320,3090.898002290000022,-5189.425398370000039,6,0,0,0,2,1,1,0,0,0,0,8,0,2,0,8,0,0,0,2,6,0,20,11,6,4459.095904619999601
8,513,42.343060000000001,-71.087199999999996,Apartment,Entire home/apt,2,62,1,2,4,457,25,025,010404,25025010404,104.04,Census Tract 104.04,G5020,136829.000000000000000,0.000000000000000,+42.3419667,-071.0886375,1472713.919999999925494,33.808900000000001,5817,1862,0174933,147923,0003865,0147923,1608.628903600000058,34,363321,1439.638106910000033,-2416.993406019999838,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,12,1,0,3,8,2,1608.628903589999936
9,1050,42.342630000000000,-71.087580000000003,Apartment,Private room,2,67,1,2,4,457,25,025,010404,25025010404,104.04,Census Tract 104.04,G5020,136829.000000000000000,0.000000000000000,+42.3419667,-071.0886375,1472713.919999999925494,33.808900000000001,5817,1862,0174933,147923,0003865,0147923,1608.628903600000058,34,363321,1439.638106910000033,-2416.993406019999838,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,12,1,0,3,8,2,1608.628903589999936
10,1081,42.342739999999999,-71.088430000000002,Apartment,Private room,1,55,1,2,4,457,25,025,010404,25025010404,104.04,Census Tract 104.04,G5020,136829.000000000000000,0.000000000000000,+42.3419667,-071.0886375,1472713.919999999925494,33.808900000000001,5817,1862,0174933,147923,0003865,0147923,1608.628903600000058,34,363321,1439.638106910000033,-2416.993406019999838,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,12,1,0,3,8,2,1608.628903589999936
11,1181,42.341920000000002,-71.090010000000007,Apartment,Private room,2,89,1,2,4,457,25,025,010404,25025010404,104.04,Census Tract 104.04,G5020,136829.000000000000000,0.000000000000000,+42.3419667,-071.0886375,1472713.919999999925494,33.808900000000001,5817,1862,0174933,147923,0003865,0147923,1608.628903600000058,34,363321,1439.638106910000033,-2416.993406019999838,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,12,1,0,3,8,2,1608.628903589999936
12,1184,42.343389999999999,-71.088319999999996,Apartment,Private room,1,52,1,2,4,457,25,025,010404,25025010404,104.04,Census Tract 104.04,G5020,136829.000000000000000,0.000000000000000,+42.3419667,-071.0886375,1472713.919999999925494,33.808900000000001,5817,1862,0174933,147923,0003865,0147923,1608.628903600000058,34,363321,1439.638106910000033,-2416.993406019999838,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,12,1,0,3,8,2,1608.628903589999936
13,1427,42.342770000000002,-71.087969999999999,Apartment,Private room,2,75,1,2,4,457,25,025,010404,25025010404,104.04,Census Tract 104.04,G5020,136829.000000000000000,0.000000000000000,+42.3419667,-071.0886375,1472713.919999999925494,33.808900000000001,5817,1862,0174933,147923,0003865,0147923,1608.628903600000058,34,363321,1439.638106910000033,-2416.993406019999838,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,12,1,0,3,8,2,1608.628903589999936
14,2028,42.341760000000001,-71.087599999999995,House,Entire home/apt,16,392,1,2,4,457,25,025,010404,25025010404,104.04,Census Tract 104.04,G5020,136829.000000000000000,0.000000000000000,+42.3419667,-071.0886375,1472713.919999999925494,33.808900000000001,5817,1862,0174933,147923,0003865,0147923,1608.628903600000058,34,363321,1439.638106910000033,-2416.993406019999838,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,12,1,0,3,8,2,1608.628903589999936
15,2029,42.342070000000000,-71.089250000000007,Apartment,Entire home/apt,2,109,1,2,4,457,25,025,010404,25025010404,104.04,Census Tract 104.04,G5020,136829.000000000000000,0.000000000000000,+42.3419667,-071.0886375,1472713.919999999925494,33.808900000000001,5817,1862,0174933,147923,0003865,0147923,1608.628903600000058,34,363321,1439.638106910000033,-2416.993406019999838,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,12,1,0,3,8,2,1608.628903589999936
