,CT,AV_BLDG,Sum_Aggrav,Sum_Aircra,Sum_Arson,Sum_Assemb,Sum_Auto_T,Sum_Auto_1,Sum_Ballis,Sum_Bomb_H,Sum_Commer,Sum_Crimin,Sum_Disord,Sum_Drug_V,Sum_Explos,Sum_Firear,Sum_HOME_I,Sum_Harass,Sum_Homici,Sum_Mansla,Sum_Offens,Sum_Reside,Sum_Robber,Sum_Search,Sum_Simple,Sum_Vandal,Sum_Warran
0,25025000100,384300.0,5032,0,0,0,5661,629,0,0,2516,629,1258,7548,0,629,0,4403,0,0,0,629,5032,0,21386,27047,6290
1,25025000401,271000.0,1073,0,0,0,0,0,0,0,0,2146,1073,1073,0,0,0,6438,0,0,0,8584,0,0,6438,15022,1073
2,25025000402,501000.0,78,0,0,52,52,0,52,0,0,0,104,156,0,26,0,78,0,0,52,364,0,0,130,338,26
3,25025000502,266400.0,1026,0,0,1026,2052,0,0,0,0,0,2052,2052,0,0,0,3078,0,0,0,3078,3078,0,10260,5130,0
4,25025000503,252000.0,1708,0,0,0,2562,0,0,0,0,0,0,854,0,0,0,2562,0,0,0,0,0,0,2562,5124,0
5,25025000504,266700.0,2430,0,0,0,9720,0,0,0,2430,0,2430,17010,0,0,0,4860,0,0,0,10935,1215,0,8505,24300,6075
6,25025000601,396500.0,760,0,0,0,304,0,304,152,304,0,456,10032,0,0,0,1064,0,0,0,1064,304,912,2280,1976,912
7,25025000602,314000.0,5027,0,457,914,457,0,457,0,0,914,1371,12796,0,2285,0,4113,0,0,1371,6398,3656,457,26049,12796,5941
8,25025000701,275500.0,3040,0,0,0,2280,0,0,0,760,760,0,6840,0,0,0,5320,0,0,0,5320,0,0,6080,12160,2280
9,25025000703,365300.0,1912,0,0,0,2151,0,0,0,239,239,239,1195,0,0,0,478,0,0,0,1195,717,0,5019,3824,717
10,25025000704,277300.0,8680,0,1085,0,10850,0,0,0,0,0,1085,7595,0,3255,0,4340,0,0,1085,6510,1085,0,19530,21700,2170
11,25025000802,401400.0,10784,0,0,2696,6066,1348,1348,0,674,674,2022,8762,0,674,0,5392,0,0,674,17524,4718,0,18198,24938,6066
12,25025000803,845200.0,27,0,0,0,54,0,0,54,0,0,0,81,0,0,0,27,0,0,135,0,27,0,189,54,0
13,25025010103,1064800.0,127,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,127,0
14,25025010104,445900.0,4605,0,0,0,4605,3070,0,0,0,0,1535,9210,0,0,0,3070,0,0,0,10745,3070,0,30700,23025,9210
15,25025010203,326900.0,23660,0,0,0,10140,1690,0,0,0,845,21125,10140,0,2535,0,5070,0,0,0,12675,8450,0,64220,21970,21125
16,25025010204,486000.0,3752,0,0,0,536,0,0,0,2144,0,1072,2144,0,536,0,1072,0,0,0,4288,0,0,5896,8040,5896
17,25025010300,351700.0,203,0,0,203,203,0,0,203,0,0,0,406,0,203,0,609,0,0,0,203,0,0,406,2030,406
18,25025010403,361200.0,2538,0,423,0,1269,846,0,0,423,423,0,5076,0,0,0,1269,0,0,0,5076,1692,423,5076,5499,4230
19,25025010404,461550.0,1520,0,0,0,1520,0,0,0,1520,0,0,1520,0,0,0,0,0,0,0,9120,760,0,2280,6080,1520
20,25025010405,329100.0,2178,0,0,0,726,363,363,0,0,0,0,2904,0,726,0,2904,0,0,0,726,2178,0,7260,3993,2178
21,25025010408,349700.0,843,0,281,0,1405,0,0,0,562,0,562,281,0,281,0,281,0,0,0,1405,281,0,2529,1686,1686
22,25025010500,823571.0,3456,0,0,384,3840,1152,0,384,0,0,768,2304,0,0,0,3072,0,0,0,6144,1152,0,9216,3456,3072
23,25025010600,841193.0,21012,0,618,1236,7416,1236,618,1236,3708,618,4326,9888,0,1236,0,6180,0,0,0,8034,8034,618,42642,17304,21630
24,25025010701,953450.0,6048,0,0,0,10080,0,0,0,8064,2016,2016,11088,0,1008,0,5040,0,0,0,4032,6048,0,17136,13104,13104
25,25025010702,895000.0,30514,0,0,1387,8322,2774,0,1387,9709,0,18031,20805,0,2774,0,6935,0,0,0,2774,15257,1387,85994,38836,26353
26,25025010801,757100.0,1439,0,0,0,7195,2878,0,0,0,2878,1439,0,0,0,0,0,0,0,0,5756,1439,0,7195,12951,0
27,25025010802,663950.0,1538,0,0,0,4614,0,0,0,0,0,0,7690,0,0,0,0,0,0,0,1538,0,0,1538,13842,0
28,25025020101,730850.0,1838,0,0,0,0,0,0,0,12866,0,1838,0,0,0,0,11028,0,0,0,11028,5514,0,12866,25732,3676
29,25025020200,548600.0,2172,0,0,0,3258,0,0,0,3258,0,0,2172,0,1086,0,4344,0,0,0,5430,2172,0,3258,18462,1086
30,25025020301,1789800.0,273,0,0,0,39,0,0,0,0,39,156,0,0,0,0,234,0,0,0,78,0,0,1053,78,273
