LON,LAT,MEDV
-71.083,42.2172,17.8
-71.095,42.212,21.7
-71.1,42.21,22.7
-71.093,42.207,22.6
-71.09,42.2033,25
-71.086,42.21,19.9
-71.081,42.208,20.8
-71.086,42.215,16.8
-71.059,42.2098,21.9
-71.059,42.2075,27.5
-71.054,42.2052,21.9
-71.05,42.207,23.1
-71.048,42.2105,50
-71.049,42.2125,50
-71.042,42.2144,50
-71.041,42.216,50
-71.039,42.2182,50
-71.033,42.2207,13.8
-71.034,42.2187,13.8
-71.036,42.224,15
-71.034,42.226,13.9
-71.038,42.2265,13.3
-71.04,42.2248,13.1
-71.04,42.2275,10.2
-71.046,42.23,10.4
-71.041,42.229,10.9
-71.023,42.2287,11.3
-71.021,42.227,12.3
-71.024,42.2235,8.8
-71.023,42.2213,7.2
-71.022,42.2231,10.5
-71.021,42.2248,7.4
-71.019,42.2255,10.2
-71.016,42.2281,11.5
-71.01,42.23,15.1
-71.003,42.233,23.2
-71.02,42.2205,9.7
-71.016,42.201,13.8
-71.02,42.1993,12.7
-71.022,42.1996,13.1
-71.026,42.1993,12.5
-71.025,42.2024,8.5
-71.023,42.209,5
-71.033,42.2032,6.3
-71.032,42.2011,5.6
-71.03,42.2015,7.2
-71.03,42.1988,12.1
-71.033,42.198,8.3
-71.034,42.2001,8.5
-71.032,42.2057,5
-71.039,42.2198,11.9
-71.042,42.209,27.9
-71.043,42.205,17.2
-71.045,42.206,27.5
-71.046,42.2075,15
-71.048,42.2048,17.2
-71.047,42.203,17.9
-71.045,42.2015,16.3
-71.042,42.1985,7
-71.045,42.1953,7.2
-71.047,42.1965,7.5
-71.049,42.2007,10.4
-71.052,42.1989,8.8
-71.058,42.1999,8.4
-71.061,42.199,16.7
-71.065,42.2018,14.2
-71.066,42.197,20.8
-71.061,42.1948,13.4
-71.059,42.192,11.7
-71.057,42.1967,8.3
-71.055,42.1937,10.2
-71.054,42.1961,10.9
-71.052,42.194,11
-71.048,42.192,9.5
-71.054,42.189,14.5
-71.05,42.188,14.1
-71.052,42.1854,16.1
-71.049,42.1815,14.3
-71.047,42.1842,11.7
-71.046,42.1867,13.4
-71.045,42.1893,9.6
-71.044,42.1917,8.7
-71.044,42.1938,8.4
-71.037,42.194,12.8
-71.032,42.1925,10.5
-71.034,42.185,17.1
-71.034,42.189,18.4
-71.037,42.1892,15.4
-71.04,42.192,10.8
-71.042,42.189,11.8
-71.039,42.1868,14.9
-71.037,42.184,12.6
-71.04,42.182,14.1
-71.042,42.1845,13
-71.046,42.181,13.4
-71.041,42.1795,15.2
-71.034,42.179,16.1
-71.04,42.177,17.8
-71.045,42.1768,14.9
-71.051,42.178,14.1
-71.051,42.1735,12.7
-71.051,42.17,13.5
-71.047,42.169,14.9
-71.043,42.169,20
-71.043,42.1728,16.4
-71.035,42.1745,17.7
-71.031,42.1695,19.5
-71.035,42.1675,20.2
-71.045,42.164,21.4
-71.055,42.165,19.9
-71.055,42.1685,19
-71.066,42.178,19.1
-71.07,42.168,19.1
-71.069,42.1725,20.1
-71.074,42.168,19.9
-71.082,42.1698,19.6
-71.083,42.175,23.2
-71.0189,42.184,29.8
-71.0228,42.183,13.8
-71.0245,42.1879,13.3
-71.016,42.188,16.7
-71.0297,42.192,12
-71.0125,42.1913,14.6
-71.0125,42.1945,21.4
-71.0105,42.174,23
-71.001,42.173,23.7
-70.9947,42.1665,25
-71.005,42.1608,21.8
-70.9985,42.154,20.6
-70.992,42.1455,21.2
-70.986,42.155,19.1
-70.991,42.161,20.6
-70.9948,42.2344,15.2
-70.9875,42.2335,7
-70.9825,42.2368,8.1
-70.955,42.2382,13.6
-70.95,42.2447,20.1
-70.936,42.2462,21.8
-70.928,42.25,24.5
-70.922,42.2547,23.1
-70.9165,42.2525,19.7
-70.936,42.2496,18.3
-70.9375,42.2455,21.2
-70.933,42.243,17.5
-70.929,42.238,16.8
-70.935,42.2312,22.4
-70.944,42.2275,20.6
-70.951,42.226,23.9
-70.9645,42.224,22
-70.972,42.221,11.9
-70.9765,42.255,24
-70.987,42.2875,21.6
-70.978,42.283,34.7
-70.9925,42.293,33.4
-70.988,42.298,36.2
-70.9835,42.304,28.7
-70.982,42.297,22.9
-70.9775,42.31,27.1
-70.973,42.312,16.5
-70.9693,42.316,18.9
-70.964,42.316,15
-70.9597,42.317,18.9
-70.9597,42.306,21.7
-70.957,42.292,20.4
-70.951,42.287,18.2
-70.967,42.294,19.9
-70.964,42.2985,23.1
-70.972,42.285,17.5
-70.9795,42.2825,20.2
-70.9775,42.2776,18.2
-71,42.277,13.6
-71.008,42.281,19.6
-71.004,42.279,15.2
-71.02,42.279,14.5
-71.013,42.2816,15.6
-71.03,42.284,13.9
-71.004,42.287,16.6
-71.003,42.2825,14.8
-70.9775,42.28,18.4
-70.9675,42.278,21
-70.9725,42.279,12.7
